symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
ETHUSDT,SHORT,2025-08-18 17:30:00+00:00,2025-08-19 00:20:00+00:00,4370.85,4298.169000000002,0.19926,4391.616,4298.169000000002,43.4472,0.9501,42.4972,WIN,594.2072,71.57,33.99,BEARISH,0.5
ETHUSDT,SHORT,2025-08-19 09:30:00+00:00,2025-08-19 11:20:00+00:00,4290.85,4306.732857142858,0.280589,4306.732857142858,4235.26,-13.3697,1.3268,-14.6965,LOSS,579.5107,77.16,25.18,BEARISH,0.5
ETHUSDT,LONG,2025-08-24 20:05:00+00:00,2025-08-25 00:40:00+00:00,4738.11,4678.2111428571425,0.072561,4678.2111428571425,4947.756,-13.039,0.3758,-13.4148,LOSS,566.096,21.32,55.01,BULLISH,0.5
ETHUSDT,SHORT,2025-08-26 11:05:00+00:00,2025-08-26 11:30:00+00:00,4453.63,4406.620000000001,0.316103,4467.061428571428,4406.620000000001,44.58,1.5404,43.0396,WIN,609.1356,74.05,46.23,BEARISH,0.5
ETHUSDT,SHORT,2025-08-26 15:00:00+00:00,2025-08-26 20:10:00+00:00,4573.63,4601.158857142857,0.165954,4601.158857142857,4477.279,-13.7056,0.8374,-14.543,LOSS,594.5926,87.04,40.51,BEARISH,0.5
ETHUSDT,LONG,2025-08-27 18:55:00+00:00,2025-08-27 19:05:00+00:00,4588.93,4574.122857142857,0.301168,4574.122857142857,4640.754999999999,-13.3783,1.5178,-14.8961,LOSS,579.6965,24.56,30.76,BULLISH,0.5
ETHUSDT,LONG,2025-09-01 09:55:00+00:00,2025-09-01 10:00:00+00:00,4439.88,4429.300285714286,0.410949,4429.300285714286,4476.909,-13.0432,2.0046,-15.0478,LOSS,564.6487,15.53,44.28,BULLISH,0.5
ETHUSDT,SHORT,2025-09-02 20:35:00+00:00,2025-09-03 02:15:00+00:00,4320.15,4338.850285714285,0.22646,4338.850285714285,4254.699,-12.7046,1.0785,-13.7831,LOSS,550.8656,81.25,68.72,BEARISH,0.5
ETHUSDT,LONG,2025-09-10 16:25:00+00:00,2025-09-10 17:25:00+00:00,4372.07,4359.841142857143,0.337848,4359.841142857143,4414.871,-12.3945,1.6225,-14.017,LOSS,536.8486,22.37,93.94,BULLISH,0.5
ETHUSDT,SHORT,2025-09-16 17:15:00+00:00,2025-09-16 22:40:00+00:00,4505.6,4518.1254285714285,0.64291,4518.1254285714285,4461.761,-24.1582,3.1908,-27.349,LOSS,509.4996,76.81,18.86,BEARISH,1.0
