symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
SOLUSDT,LONG,2025-11-10 08:35:00+00:00,2025-11-10 09:30:00+00:00,166.16,167.951,13.235952,165.64828571428572,167.951,71.1168,2.4323,68.6845,WIN,971.7546,29.81,36.43,BULLISH,0.5
SOLUSDT,LONG,2025-11-10 14:45:00+00:00,2025-11-10 14:50:00+00:00,166.08,165.18857142857144,8.17582,165.18857142857144,169.20000000000002,-21.8645,1.4896,-23.3541,LOSS,948.4005,14.56,57.2,BULLISH,0.5
SOLUSDT,LONG,2025-11-10 14:50:00+00:00,2025-11-11 01:15:00+00:00,165.51,168.834,7.489625,164.5602857142857,168.834,74.6865,1.3773,73.3093,WIN,1021.7098,13.53,62.57,BULLISH,0.5
SOLUSDT,SHORT,2025-11-12 11:05:00+00:00,2025-11-12 14:45:00+00:00,160.84,158.494,22.86435,161.51028571428571,158.494,160.9193,4.0158,156.9035,WIN,1178.6134,84.62,22.55,BEARISH,1.0
SOLUSDT,SHORT,2025-11-16 18:10:00+00:00,2025-11-17 00:35:00+00:00,138.06,139.12028571428573,8.336998,139.12028571428573,134.349,-26.5188,1.271,-27.7898,LOSS,1150.8236,71.88,68.77,BEARISH,0.5
SOLUSDT,LONG,2025-11-20 09:25:00+00:00,2025-11-20 09:45:00+00:00,142.1,141.668,19.979576,141.668,143.612,-25.8935,3.1183,-29.0118,LOSS,1121.8118,18.66,74.23,BULLISH,0.5
SOLUSDT,LONG,2025-11-20 09:45:00+00:00,2025-11-20 10:05:00+00:00,141.46,141.01085714285716,18.732544,141.01085714285716,143.032,-25.2408,2.9103,-28.151,LOSS,1093.6608,13.54,89.24,BULLISH,0.5
SOLUSDT,LONG,2025-11-20 14:05:00+00:00,2025-11-20 16:00:00+00:00,139.09,138.11285714285714,8.394326,138.11285714285714,142.51000000000002,-24.6074,1.2798,-25.8872,LOSS,1067.7736,25.84,29.19,BULLISH,0.5
SOLUSDT,LONG,2025-11-25 09:00:00+00:00,2025-11-25 14:40:00+00:00,135.17,134.66,15.702553,134.66,136.95499999999996,-24.0249,2.3304,-26.3553,LOSS,1041.4183,28.37,88.06,BULLISH,0.5
SOLUSDT,LONG,2025-11-25 14:40:00+00:00,2025-11-25 14:45:00+00:00,134.57,133.88,11.319764,133.88,136.98499999999999,-23.4319,1.6713,-25.1032,LOSS,1016.3151,28.41,38.49,BULLISH,0.5
SOLUSDT,LONG,2025-12-02 20:35:00+00:00,2025-12-03 00:25:00+00:00,138.35,137.78685714285714,27.070797,137.78685714285714,140.321,-45.7342,4.1114,-49.8456,LOSS,966.4695,27.09,24.47,BULLISH,1.0
SOLUSDT,LONG,2025-12-03 14:00:00+00:00,2025-12-03 14:35:00+00:00,138.82,140.986,23.425508,138.20114285714286,140.986,152.219,3.605,148.6139,WIN,1115.0834,18.8,12.5,BULLISH,1.0
SOLUSDT,LONG,2025-12-04 17:35:00+00:00,2025-12-04 18:40:00+00:00,141.36,140.8054285714286,15.08034,140.8054285714286,143.30100000000002,-25.0894,2.3403,-27.4297,LOSS,1087.6537,19.16,52.2,BULLISH,0.5
SOLUSDT,SHORT,2025-12-07 15:55:00+00:00,2025-12-07 17:15:00+00:00,131.9,132.67742857142858,10.492801,132.67742857142858,129.179,-24.4722,1.5269,-25.9991,LOSS,1061.6546,79.71,47.43,BEARISH,0.5
SOLUSDT,LONG,2025-12-09 20:20:00+00:00,2025-12-09 20:30:00+00:00,140.46,139.86428571428573,13.366155,139.86428571428573,142.54500000000002,-23.8872,2.0608,-25.948,LOSS,1035.7066,26.98,40.01,BULLISH,0.5
SOLUSDT,SHORT,2025-12-11 17:25:00+00:00,2025-12-11 18:00:00+00:00,131.92,132.50799999999998,13.210544,132.50799999999998,129.86200000000002,-23.3034,1.9213,-25.2247,LOSS,1010.4819,71.82,32.29,BEARISH,0.5
